Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
960,27,2.0,59.46367829288154,33.33775383217295,9.0,19,19.0,1977,0.211401214,B,B,9,1892,0,2672.0,0,1,B
868,38,3.0,52.553625596177795,53.18041881361226,6.0,4,23.0,2011,0.060753049,B,B,15,2787,2,520.0,0,7,B
5250,96,4.0,52.553625596177795,33.33775383217295,6.0,25,24.0,2014,0.041116354,B,B,53,14892,4,2300.0,1,4,B
16097,57,1.0,44.323796217038144,19.876484711283165,6.0,4,16.0,2007,0.133215333,B,B,49,11395,3,1406.0,3,4,A
16428,170,3.0,77.0287905358431,47.07690066782445,6.0,13,17.0,1990,0.21843974,B,B,21,4472,6,1450.0,4,7,A
3190,9,2.0,64.86239597220232,36.81962793236171,6.0,7,1.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
13155,41,2.0,48.4407146464437,32.13878070944986,6.0,4,9.0,1979,0.394094211,B,B,3,662,0,35.0,0,0,B
11155,150,2.0,43.569924463619735,30.140515383990504,5.0,4,5.0,1965,0.08761909,B,B,8,1497,5,3855.0,1,0,B
3340,27,3.0,69.92193904856693,33.33775383217295,6.0,9,17.0,1977,0.211401214,B,B,9,1892,0,2672.0,0,1,B
8174,23,1.0,46.88683597148046,29.423719998305245,6.0,3,3.0,2016,0.034656082,B,B,0,168,0,1183.0,0,0,B
13682,27,1.0,41.34565024439386,17.38476844941001,8.0,14,14.0,2007,0.07542368,B,B,11,3097,0,2672.0,0,0,B
1814,1,1.0,41.11560894052037,41.17146392419938,6.0,4,17.0,1977,0.007122317,B,B,1,264,0,240.0,0,1,B
12694,27,3.0,83.67003174601149,46.35835603454894,6.0,8,0.0,2015,0.072157581,B,B,2,629,1,2672.0,0,0,A
10170,48,2.0,47.863789962737634,33.84667883716051,6.0,12,12.0,1982,0.041124634,B,B,46,9515,5,240.0,1,10,B
2701,29,3.0,61.04126877093078,45.71091012786398,5.0,3,5.0,1965,0.069660344,B,B,31,6119,4,1547.0,1,2,B
1858,100,1.0,29.58575823133833,16.761099968482206,5.0,3,8.0,1959,0.200146802,B,B,23,3975,8,770.0,2,0,B
14730,39,1.0,32.85144357739161,22.05303940906601,6.0,7,9.0,1962,0.428825818,B,B,25,5011,8,730.0,0,2,B
7446,100,1.0,34.55729086333245,21.20850181545886,6.0,10,9.0,1966,0.200146802,B,B,23,3975,8,770.0,2,0,B
14016,179,2.0,40.446433988327634,24.677161862160283,7.0,9,5.0,1963,0.306977489,B,B,27,5148,14,1575.0,5,7,B
5717,99,2.0,46.334891653768175,28.34330075323604,6.0,4,9.0,1970,0.033493708,B,B,66,10573,1,1322.0,3,8,B
1499,27,3.0,52.553625596177795,33.33775383217295,6.0,9,12.0,2016,0.072157581,B,B,2,629,1,2672.0,0,0,A
16353,53,2.0,58.78278704187747,34.57981780836462,6.0,7,22.0,2016,0.049637257,B,B,34,7759,0,229.0,1,3,B
10359,46,2.0,45.32893674924416,29.148969745306143,6.0,6,9.0,1970,0.0,B,B,47,11319,0,1145.0,3,5,B
12134,52,2.0,66.46342969601757,48.97465096535857,6.0,12,16.0,2015,0.371148999,B,B,34,7065,1,750.0,2,5,B
10395,6,1.0,44.49977444312419,42.43648811770733,6.0,8,1.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
10842,6,1.0,38.63728613062735,23.723588689986386,6.0,17,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
13931,138,2.0,43.69853923637347,26.41510393522152,5.0,4,5.0,1963,0.0,B,B,36,6714,2,2672.0,0,2,B
16330,122,2.0,56.21298348811914,36.349948901114615,9.0,5,17.0,1996,0.033493708,B,B,66,10573,1,1322.0,3,8,B
9857,34,3.0,78.4798682472681,49.22980281857096,6.0,17,16.0,2002,0.069753361,B,B,53,13670,4,800.0,1,11,B
6513,88,3.0,60.7669618864274,43.23565180211378,6.0,3,12.0,1974,0.127375905,B,B,43,8429,3,4508.0,3,9,B
10594,9,2.0,47.77091955759415,27.83118358998115,8.0,10,10.0,2008,0.13012277,B,B,8,1986,0,30.0,0,0,B
903,15,2.0,64.71893532395197,32.09149416776168,2.0,6,14.0,2009,0.158249043,B,B,21,5731,0,1940.0,1,0,B
8249,58,1.0,39.7683400120084,22.41394259970384,8.0,10,10.0,2005,0.31019913,B,B,11,2748,1,1084.0,0,0,B
2008,94,2.0,48.693295697353975,32.25870261971564,5.0,7,9.0,1975,0.127375905,B,B,43,8429,3,30.0,3,9,B
9923,12,3.0,73.45472115659649,45.044852752084246,6.0,17,17.0,1987,0.090799103,B,B,74,19083,2,1015.0,5,15,B
15057,178,2.0,55.08731987921566,33.57933695799419,7.0,4,5.0,1956,0.212515361,B,B,19,3293,16,628.0,3,7,B
4985,23,2.0,63.02111913012411,34.24626875310812,6.0,4,25.0,1977,0.075778755,B,B,6,1437,3,1183.0,0,2,B
13881,58,3.0,82.91116098794275,33.33775383217295,9.0,15,14.0,1969,0.1489038909999999,B,B,9,1952,1,1430.0,3,2,B
9513,26,1.0,39.230346913798826,20.93877136890088,7.0,9,17.0,2000,0.0,B,B,36,6714,2,2672.0,0,2,B
11128,21,2.0,42.20621681384596,26.426548966453613,5.0,5,5.0,1963,0.034331497,B,B,25,5487,3,125.0,0,4,B
933,34,1.0,43.413672838653895,42.689224303106,6.0,14,22.0,1977,0.069753361,B,B,53,13670,4,800.0,1,11,B
6594,23,2.0,53.148626936761005,34.616208430601624,6.0,11,12.0,1977,0.034656082,B,B,0,168,0,1183.0,0,0,B
14863,58,1.0,35.12487250319834,21.465834060147987,6.0,4,12.0,1981,0.43788524,B,B,23,5735,3,1084.0,0,5,B
5160,58,3.0,52.553625596177795,33.33775383217295,6.0,2,3.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
13924,9,1.0,41.26247404924529,37.22608037106515,6.0,2,1.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
